iter	Passed	Remaining
471	1110	1242
472	1112	1239
473	1114	1236
474	1115	1233
475	1117	1230
476	1119	1227
477	1121	1224
478	1123	1221
479	1125	1218
480	1126	1215
481	1128	1212
482	1130	1209
483	1132	1207
484	1134	1204
485	1136	1201
486	1139	1200
487	1141	1197
488	1143	1194
489	1144	1191
490	1146	1188
491	1148	1185
492	1150	1183
493	1152	1180
494	1153	1177
495	1155	1174
496	1157	1171
497	1158	1168
498	1160	1165
499	1162	1162
500	1164	1159
501	1166	1156
502	1167	1153
503	1169	1151
504	1171	1148
505	1173	1145
506	1175	1143
507	1177	1140
508	1179	1137
509	1181	1135
510	1183	1132
511	1185	1129
512	1187	1127
513	1189	1124
514	1191	1122
515	1193	1119
516	1195	1116
517	1196	1113
518	1198	1110
519	1200	1107
520	1201	1104
521	1204	1102
522	1205	1099
523	1207	1096
524	1209	1094
525	1211	1091
526	1213	1088
527	1214	1085
528	1216	1083
529	1218	1080
530	1220	1077
531	1222	1075
532	1224	1072
533	1226	1070
534	1229	1068
535	1232	1067
536	1234	1064
537	1236	1061
538	1238	1058
539	1239	1055
540	1241	1053
541	1242	1050
542	1244	1047
543	1246	1045
544	1248	1042
545	1250	1039
546	1251	1036
547	1253	1033
548	1254	1030
549	1256	1027
550	1257	1024
551	1259	1022
552	1261	1019
553	1262	1016
554	1264	1013
555	1265	1010
556	1267	1007
557	1268	1004
558	1269	1001
559	1271	999
560	1273	996
561	1275	993
562	1276	991
563	1278	988
564	1280	985
565	1281	982
566	1283	980
567	1285	977
568	1287	974
569	1288	972
570	1290	969
571	1292	967
572	1294	964
573	1295	961
574	1297	958
575	1298	956
576	1301	953
577	1302	951
578	1304	948
579	1306	946
580	1307	943
581	1309	940
582	1310	937
583	1312	934
584	1313	932
585	1315	929
586	1317	926
587	1319	924
588	1320	921
589	1322	918
590	1324	916
591	1325	913
592	1327	911
593	1329	908
594	1330	905
595	1332	903
596	1334	900
597	1336	898
598	1337	895
599	1339	892
600	1342	890
601	1343	888
602	1345	885
603	1346	882
604	1348	880
605	1349	877
606	1351	874
607	1352	872
608	1357	871
609	1360	869
610	1361	866
611	1363	864
612	1364	861
613	1366	858
614	1368	856
615	1370	854
616	1371	851
617	1373	848
618	1374	846
619	1376	843
620	1378	841
621	1379	838
622	1382	836
623	1385	834
624	1386	832
625	1388	829
626	1390	826
627	1391	824
628	1393	821
629	1397	820
630	1399	818
631	1401	815
632	1403	813
633	1404	810
634	1406	808
635	1408	806
636	1410	804
637	1413	801
638	1416	799
639	1418	797
640	1420	795
641	1422	793
642	1424	791
643	1426	788
644	1428	786
645	1430	783
646	1432	781
647	1434	779
648	1436	776
649	1438	774
650	1440	772
651	1442	769
652	1444	767
653	1446	765
654	1448	762
655	1449	760
656	1452	758
657	1453	755
658	1455	753
659	1457	751
660	1463	750
661	1465	748
662	1468	746
663	1471	744
664	1473	742
665	1475	740
666	1477	737
667	1492	741
668	1495	739
669	1498	737
670	1500	735
671	1503	733
672	1507	732
673	1510	730
674	1512	728
675	1515	726
676	1517	723
677	1519	721
678	1521	719
679	1523	716
680	1525	714
681	1527	712
682	1529	709
683	1531	707
684	1533	705
685	1535	702
686	1537	700
687	1538	697
688	1540	695
689	1542	693
690	1544	690
691	1546	688
692	1548	686
693	1559	687
694	1561	685
695	1563	683
696	1566	681
697	1569	678
698	1571	676
699	1573	674
700	1575	671
701	1577	669
702	1579	667
703	1582	665
704	1585	663
705	1596	664
706	1598	662
707	1601	660
708	1603	658
709	1605	655
710	1608	653
711	1610	651
712	1612	649
713	1614	646
714	1618	645
715	1620	642
716	1622	640
717	1625	638
718	1626	635
719	1629	633
720	1631	631
721	1633	629
722	1635	626
723	1638	624
724	1640	622
725	1641	619
726	1644	617
727	1646	615
728	1648	612
729	1650	610
730	1652	607
731	1654	605
732	1656	603
733	1658	601
734	1661	598
735	1663	596
736	1665	594
737	1667	591
738	1669	589
739	1671	587
740	1673	584
741	1675	582
742	1677	580
743	1679	577
744	1681	575
745	1683	573
746	1685	570
747	1687	568
748	1689	566
749	1691	563
750	1693	561
751	1695	559
752	1697	556
753	1699	554
754	1701	552
755	1703	549
756	1705	547
757	1707	545
758	1709	542
759	1711	540
760	1713	538
761	1715	535
762	1718	533
763	1720	531
764	1721	528
765	1723	526
766	1725	524
767	1758	531
768	1762	529
769	1764	526
770	1765	524
771	1767	522
772	1769	519
773	1770	517
774	1772	514
775	1774	512
776	1776	509
777	1778	507
778	1780	505
779	1782	502
780	1784	500
781	1785	497
782	1787	495
783	1789	493
784	1791	490
785	1793	488
786	1795	485
787	1797	483
788	1799	481
789	1802	479
790	1804	476
791	1806	474
792	1808	472
793	1810	469
794	1812	467
795	1816	465
796	1817	463
797	1819	460
798	1821	458
799	1823	455
800	1824	453
801	1826	450
802	1827	448
803	1829	446
804	1832	443
805	1834	441
806	1835	439
807	1837	436
808	1839	434
809	1841	431
810	1844	429
811	1846	427
812	1848	425
813	1850	422
814	1852	420
815	1854	418
816	1856	415
817	1858	413
818	1860	411
819	1862	408
820	1864	406
821	1865	404
822	1867	401
823	1869	399
824	1870	396
825	1872	394
826	1874	392
827	1876	389
828	1877	387
829	1879	384
830	1880	382
831	1882	380
832	1884	377
833	1886	375
834	1888	373
835	1890	370
836	1892	368
837	1893	366
838	1895	363
839	1897	361
840	1899	359
841	1900	356
842	1902	354
843	1904	352
844	1905	349
845	1907	347
846	1909	344
847	1911	342
848	1913	340
849	1915	338
850	1917	335
851	1919	333
852	1921	331
853	1923	328
854	1925	326
855	1927	324
856	1929	321
857	1931	319
858	1932	317
859	1934	314
860	1935	312
861	1937	310
862	1939	307
863	1940	305
864	1942	303
865	1944	300
866	1946	298
867	1947	296
868	1949	293
869	1951	291
870	1952	289
871	1954	286
872	1956	284
873	1958	282
874	1960	280
875	1961	277
876	1963	275
877	1965	273
878	1966	270
879	1969	268
880	1970	266
881	1973	263
882	1975	261
883	1977	259
884	1979	257
885	1981	254
886	1983	252
887	1985	250
888	1987	248
889	1988	245
890	1990	243
891	1992	241
892	1994	238
893	1996	236
894	1997	234
895	1999	232
896	2001	229
897	2003	227
898	2004	225
899	2006	222
900	2008	220
901	2010	218
902	2012	216
903	2013	213
904	2015	211
905	2017	209
906	2018	206
907	2020	204
908	2022	202
909	2024	200
910	2025	197
911	2027	195
912	2029	193
913	2030	191
914	2032	188
915	2034	186
916	2036	184
917	2038	182
918	2040	179
919	2041	177
920	2043	175
921	2045	173
922	2047	170
923	2049	168
924	2050	166
925	2052	164
926	2054	161
927	2056	159
928	2057	157
929	2059	155
930	2061	152
931	2063	150
932	2065	148
933	2067	146
934	2068	143
935	2070	141
936	2072	139
937	2074	137
938	2076	134
939	2078	132
940	2080	130
941	2081	128
942	2083	125
943	2085	123
944	2087	121
945	2088	119
946	2090	117
947	2092	114
948	2094	112
949	2096	110
950	2098	108
951	2100	105
952	2102	103
953	2104	101
954	2105	99
955	2107	97
956	2109	94
957	2110	92
958	2112	90
959	2114	88
960	2116	85
961	2117	83
962	2119	81
963	2121	79
964	2123	77
965	2124	74
966	2126	72
967	2127	70
968	2129	68
969	2131	65
970	2133	63
971	2134	61
972	2136	59
973	2137	57
974	2139	54
975	2141	52
976	2145	50
977	2147	48
978	2149	46
979	2151	43
980	2153	41
981	2155	39
982	2156	37
983	2158	35
984	2160	32
985	2162	30
986	2164	28
987	2165	26
988	2167	24
989	2169	21
990	2170	19
991	2172	17
992	2174	15
993	2176	13
994	2178	10
995	2180	8
996	2181	6
997	2183	4
998	2185	2
999	2187	0
